actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year
"罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森,本尼迪克·哈迪,克里斯托弗·卡比,理查德·考索恩,琳达·克罗珀,贝蒂·加布里埃尔,罗斯科·坎贝尔,理查德·阿纳斯塔西奥斯,史蒂夫·丹尼尔森,迈克尔·M·福斯特,雷纳·加拉赫,克莱顿·雅各布森","2018-03-10(西南偏南电影节),2018-06-01(美国)",雷·沃纳尔,27093707,英语,8.1,87399,澳大利亚,100分钟,升级 Upgrade,"动作,科幻,惊悚",2018
"连姆·尼森,维拉·法米加,帕特里克·威尔森,乔纳森·班克斯,山姆·尼尔,伊丽莎白·麦戈文,基连·斯科特,沙扎德·拉蒂夫,安迪·尼曼,克拉拉·拉戈,罗兰·默勒,弗洛伦斯·皮尤,迪恩·查尔斯·查普曼,埃拉-雷·史密斯,妮拉·阿利亚,柯林·麦克法兰,寇布勒·霍尔德布鲁克-史密斯,亚当·那加提斯,金斯利·本-阿德,戴姆森·伊德瑞斯,本·卡普兰,利蒂希娅·赖特,杰米·比米什","2018-03-30(中国大陆),2018-01-12(美国)",佐米·希尔拉,7056414,英语,6.6,50562,美国 / 英国,105分钟,通勤营救 The Commuter,"动作,惊悚,犯罪",2018
"约翰·C·赖利,萨拉·西尔弗曼,盖尔·加朵,塔拉吉·P·汉森,杰克·麦克布瑞尔,简·林奇,艾伦·图代克,阿尔弗雷德·莫里纳,艾德·奥尼尔,肖恩·吉布朗尼,弗卢拉·博格,蒂莫西·西蒙斯,黄阿丽,韩秘书·布雷克,葛洛泽尔·格林,瑞贝卡·薇索基,山姆·理查森,雅布其·杨-怀特,莫里斯·拉马奇,梅丽莎·维拉斯诺,凯蒂·洛斯,贾米·埃曼,霍拉提奥·桑斯,亚历克斯·莫法特,琼·斯奎布,德拉·萨巴,菲尔·约翰斯顿,约翰·迪·玛吉欧,瑞奇·摩尔,科琳·巴林杰,达尼·费尔南德斯,蒂芙妮·赫雷拉,阿娜·奥缇兹,迪安娜·阿格隆,杰森·曼兹沃克斯,雷蒙德·S·佩尔西,伏霞,罗杰·克莱格·史密斯,蒂姆·艾伦,布拉德·加内特,安东尼·丹尼尔斯,科里·伯顿,范·迪塞尔,维韦卡·波林,迈克·吉亚奇诺,凯文·迪特斯,尼可·斯彻金格,丹·雷诺斯,艾琳·贝达,克里斯汀·贝尔,裘蒂·班森,奥丽伊·卡瓦洛,詹妮弗·黑尔,凯特·希金斯,琳达·拉金,凯莉·麦克唐纳,伊迪娜·门泽尔,曼迪·摩尔,佩吉·奥哈拉,帕米拉·里本,阿尼卡·诺尼·罗斯,温明娜,珍妮卡·贝尔格雷,比尔·哈德尔","2018-11-23(中国大陆),2018-11-21(美国)","菲尔·约翰斯顿,瑞奇·摩尔",20438964,英语,8.1,232641,美国,112分钟,无敌破坏王2：大闹互联网 Ralph Breaks the Internet,"喜剧,动画,奇幻,冒险",2018
"黄才伦,艾伦,宋阳,卢靖姗,沈腾,韩彦博,陈冰,张镨冉,王宇,赵雪,常远,王成思,张琛,魏玮,陶亮,朱微玮,芦莹,李海银,何子君,高海宝,刘坤,钱晨光,乌日塔,杨洁,向斐,何孟卓,王野苓,喜子,张琳",2018-09-30(中国大陆),吴昱翰,27092785,汉语普通话,4.6,213652,中国大陆,113分钟,李茶的姑妈,喜剧,2018
"瑞恩·雷诺兹,乔什·布洛林,朱利安·迪尼森,斯蒂芬·卡皮契奇,莎姬·贝兹,T·J·米勒,莱斯利·格塞斯,卡兰·索尼,布里安娜·希德布兰德,莫蕾娜·巴卡琳,杰克·凯西,埃迪·马森,忽那汐里,兰德尔·瑞德,尼古莱·维切尔,赛尔·哈里斯,罗伯·德兰尼,刘易斯·谭,比尔·斯卡斯加德,泰瑞·克鲁斯,布拉德·皮特,罗伯特·梅耶,艾伦·图代克,马特·达蒙,海莉·塞尔斯,麦克·多普德,卢克·勒斯勒尔,亨特·狄龙,大卫·雷奇,山姆·哈格雷夫,尼古拉斯·霍尔特","2019-01-25(中国大陆),2018-05-18(美国)",大卫·雷奇,26588308,英语,7.3,284537,美国,119分钟,死侍2：我爱我家 Deadpool 2,"喜剧,动作,科幻,冒险",2018
"井柏然,周冬雨,田壮壮,曲哲明,刘启恒,苏小明,邹倚天,张子贤,施予斐,李剑青",2018-04-28(中国大陆),刘若英,26683723,汉语普通话,5.9,265473,中国大陆,120分钟,后来的我们,"剧情,爱情",2018
"汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯,西蒙·佩吉,丽贝卡·弗格森,西恩·哈里斯,安吉拉·贝塞特,凡妮莎·柯比,米歇尔·莫纳汉,韦斯·本特利,费雷德里克·施密特,亚历克·鲍德温,杨亮,克里斯托弗·约纳尔,沃尔夫·布利策,拉斐尔·琼勒,安德鲁·卡扎纳夫·平,克里斯多夫·德·舒瓦西,拉裴尔·德普雷,让·巴普蒂斯特·菲永,马克斯·盖勒,奥利维尔·体班德,亚历山大·普尔,阿利克斯·贝纳泽什,乔伊·安沙,维利贝·托皮奇,格雷厄姆·福克斯,卡斯珀·菲利普森,菲恩·乔利,鲁斯·贝恩,奈杰尔·艾伦","2018-08-31(中国大陆),2018-07-27(美国)",克里斯托弗·麦奎里,26336252,英语 / 法语,8.1,384154,美国 / 中国大陆 / 法国 / 挪威,147分钟,碟中谍6：全面瓦解 Mission: Impossible - Fallout,"动作,惊悚,冒险",2018
"柄本佑,染谷将太,石桥静河,足立智充,山本亚依",2018-09-01(日本),三宅唱,26969120,日语,7.6,5553,日本,106分钟,你的鸟儿会唱歌 きみの鳥はうたえる,"剧情,爱情",2018
"克里斯·帕拉特,布莱丝·达拉斯·霍华德,贾斯蒂斯·史密斯,伊莎贝拉·瑟蒙,拉菲·斯波,托比·琼斯,泰德·拉文,詹姆斯·克伦威尔,黄荣亮,丹妮艾拉·皮内达,杰拉丁·卓别林,杰夫·高布伦,卡米尔·雷米泽斯基,丹尼尔·斯蒂森,皮特·杰森,迈克尔·帕帕约翰,罗伯特·埃姆斯,罗南·萨莫尔斯,麦克斯·贝克,丹尼尔·厄根,戴维·奥拉瓦莱·阿印德","2018-06-15(中国大陆),2018-06-22(美国)",胡安·安东尼奥·巴亚纳,26416062,英语,6.7,281509,美国 / 西班牙,128分钟,侏罗纪世界2 Jurassic World: Fallen Kingdom,"动作,科幻,冒险",2018
"克里斯蒂安·史莱特,凡妮莎·威廉斯,比利·布朗,克里斯汀·鲍尔,吉迪恩·埃默里,连姆·麦肯泰尔,塔拉·斯特朗,大卫·博特,特雷弗·德瓦,戴夫·芬诺伊,格雷戈·格伦伯格,C·托马斯·豪威尔,茜丝·琼斯,娜塔莉·兰德,马修·默瑟,朱莉·内桑森,吉姆·皮里,丹妮亚·拉米雷兹,詹姆斯·乌尔班尼亚克",2018-04-10(美国),刘山姆,27098363,英语,7.4,9866,美国,86分钟,自杀小队：严厉惩罚 Suicide Squad: Hell to Pay,"动作,动画",2018
"朱丽安·摩尔,约翰·特托罗,迈克尔·塞拉,西恩·奥斯汀,布拉德·加内特,阿兰娜·乌巴赫,珍妮·特里普里霍恩,霍兰德·泰勒,丽塔·威尔逊,卡西·汤普森,克里斯·马尔基,凯伦·皮斯托里斯,泰森·里特,珍妮卡·贝尔格雷,巴巴拉·苏科瓦,桑德拉·罗斯科,南希·德马尔斯,巴尔巴拉·斯科拉罗,杰西·欧文,科琳娜·哈尼,克里斯托弗·艾伯,托马斯·詹姆斯·凯普纳","2018-09-07(多伦多电影节),2019-03-08(美国)",塞巴斯蒂安·莱里奥,27062816,英语,7.1,1310,美国,102分钟,葛洛利亚·贝尔 Gloria Bell,"剧情,爱情",2018
